// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight,Duration
PASS,1,3,500504,1031540040011006,20250719,124745,P,0,1,,PPPPPNNNNNNN,1,P,0,20250719,124741,0,,,0,0,4.94sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, Offset, HLim, LLim, Mode, Type, HPin, LPin, Delay, GP1, GP2, GP3, Avge, Rpt, Msr_V, Dev, Result
 151, R241,   100.00K ,   100.00K , 0.000000,  10.0,  10.0, 2, R, 258, 320, 0, 330, 0, 0, 1, 3, 99.2330631K , -0.8  %, 0
 152, R250,   100.00K ,   100.00K , 0.000000,  10.0,  10.0, 2, R, 268, 281, 0, 329, 0, 0, 1, 3, 99.6327902K , -0.4  %, 0
 153, R252,   100.00K ,   100.00K , 0.000000,  10.0,  10.0, 2, R, 329, 281, 0, 268, 0, 0, 1, 3, 99.3595044K , -0.6  %, 0
 154, R145/R,  120.000K ,    9.230K , 0.000000,  10.0,  10.0, 2, R, 258, 289, 0, 319, 0, 0, 1, 3, 9.0918684K , -1.5  %, 0
 155, R189,   120.00K ,   120.00K , 0.000000,  10.0,  10.0, 2, R, 352, 353, 0, 314, 0, 0, 1, 3, 111.6702787K , -6.9  %, 0
 156, R208,   120.00K ,   120.00K , 0.000000,  10.0,  10.0, 2, R, 330, 277, 0, 0, 0, 0, 1, 3, 108.3388013K , -9.7  %, 0
 157, R239,   120.00K ,   120.00K , 0.000000,  10.0,  10.0, 2, R, 284, 279, 0, 0, 0, 0, 1, 3, 118.9650113K , -0.9  %, 0
 158, R240/R,   120.00K ,   117.00K , 0.000000,  10.0,  10.0, 2, R, 326, 258, 0, 324, 0, 0, 1, 3, 119.3874462K , +2.0  %, 0
 159, R247/R,   120.00K ,    60.00K , 0.000000,  10.0,  10.0, 2, R, 330, 286, 0, 258, 0, 0, 1, 3, 59.7901136K , -0.3  %, 0
 160, R251,   120.00K ,   120.00K , 0.000000,  10.0,  10.0, 2, R, 258, 286, 0, 330, 0, 0, 1, 3, 119.3674158K , -0.5  %, 0
 161, R255/R,   120.00K ,    60.00K , 0.000000,  10.0,  10.0, 2, R, 330, 286, 0, 258, 0, 0, 1, 3, 59.8585326K , -0.2  %, 0
 162, R132/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 262, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 163, R131/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 262, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 164, R164/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 165, R168/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 322, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 166, R158/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 167, R133/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 262, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 168, R147/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 261, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 169, R155/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 170, R125/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 300, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 171, R126/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 299, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 172, R111/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 301, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 173, R151/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 174, R112/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 306, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 175, R113/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 307, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 176, R236,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 289, 319, 0, 258, 0, 0, 1, 3, 218.7749082K , -0.6  %, 0
 177, R243/R,   220.00K ,   158.00K , 0.000000,  10.0,  10.0, 2, R, 320, 280, 0, 0, 0, 0, 1, 3, 156.2291848K , -1.1  %, 0
 178, R246,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 289, 265, 0, 286, 0, 0, 1, 3, 216.5913983K , -1.5  %, 0
 179, R163/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 180, R121/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 298, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 181, R174,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 289, 322, 0, 258, 0, 0, 1, 3, 201.7500252K , -8.3  %, 0
 182, R127/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 298, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 183, R119/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 300, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 184, R120/NP,   220.00K ,   220.00K , 0.000000,  10.0,  10.0, 2, R, 299, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 185, R245,   560.00K ,   158.00K , 0.000000,  10.0,  10.0, 2, R, 320, 280, 0, 284, 0, 0, 1, 3, 156.5073733K , -0.9  %, 0
 186, R253,   560.00K ,   560.00K , 0.000000,  10.0,  10.0, 2, R, 286, 285, 0, 287, 0, 0, 1, 3, 555.8761005K , -0.7  %, 0
 187, R263,   560.00K ,   560.00K , 0.000000,  10.0,  10.0, 2, R, 326, 341, 0, 325, 0, 0, 1, 3, 557.0115846K , -0.5  %, 0
 188, R104/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 261, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 189, R110/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 375, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 190, R105/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 381, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 191, R106/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 192, R103/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 193, R101/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 381, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 194, R102/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 195, R107/NP,   820.00K ,   820.00K , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000K ,  0.0  %, 0
 196, R152/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 361, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 197, R159/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 261, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 198, R165/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 353, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 199, R160/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 200, R156/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 361, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 201, R171/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 352, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 202, R179/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 321, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 203, R184/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 204, R186/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 351, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 205, R187,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 351, 327, 0, 258, 0, 0, 1, 3, 0.9905287M , -0.9  %, 0
 206, R128,    1.000M ,    1.000M , 0.000000,  10.0,  15.0, 2, R, 380, 377, 10, 0, 0, 0, 1, 3, 0.9040221M , -9.6  %, 0
 207, R150/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 261, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 208, R161/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 209, R181/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 258, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 210, R183/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 211, R123,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 376, 375, 50, 0, 0, 0, 1, 3, 0.9187278M , -8.1  %, 0
 212, R175/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 321, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 213, R185/NP,    1.000M ,    1.000M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 214, R178/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 296, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 215, R115/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 0, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 216, R122/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 380, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 217, R166/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 308, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 218, R116/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 359, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 219, R117/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 359, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 220, R118/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 257, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 221, R162/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 371, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 222, R172/NP,    2.200M ,    2.200M , 0.000000,  10.0,  10.0, 2, R, 308, 0, 0, 0, 0, 0, 1, 3, 0.0000000M ,  0.0  %, 0
 223, R260,    4.700M ,    4.700M , 0.000000,  10.0,  10.0, 2, R, 329, 324, 0, 326, 0, 0, 1, 3, 4.5918515M , -2.3  %, 0
 224, R254/R,     4.70K ,   117.00K , 0.000000,  10.0,  15.0, 2, R, 326, 258, 0, 324, 0, 0, 1, 3, 118.3127587K , +1.1  %, 0
 225, R136/R,    0.220  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 377, 378, 0, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 226, R134/R,    0.220  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 378, 377, 0, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 227, R135/R,    0.220  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 378, 377, 0, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 228, R140/R,    0.220  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 378, 377, 0, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 229, R143/R,    0.220  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 378, 377, 0, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 230, F100/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 0, J, 305, 307, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 231, F101/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 0, J, 302, 306, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 232, L100,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 0, J, 357, 305, 20, 0, 0, 0, 0, 3, 1.0000000  ,  0.0  %, 0
 233, L101,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 1, J, 304, 302, 20, 0, 0, 0, 0, 3, 1.0000000  ,  0.0  %, 0
 234, L102,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 1, J, 303, 301, 20, 0, 0, 0, 0, 3, 1.0000000  ,  0.0  %, 0
 235, L104_1_2/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 370, 372, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 236, L104_2_3/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 372, 373, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 237, L104_3_4/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 373, 0, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 238, L104_4_5/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 0, 384, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 239, L104_5_6/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 384, 385, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 240, L104_6_7/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 385, 382, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 241, L104_7_8/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 382, 383, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 242, L104_8_9/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 383, 0, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 243, L104_9_10/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 0, 0, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 244, L104_10_11/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 0, 374, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 245, L104_11_12/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 374, 257, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 246, L105_1_2/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 379, 261, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 247, L105_2_3/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 261, 358, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 248, L105_3_4/NC,   9999.0  ,   9999.0  , 0.000000,  10.0,  10.0, 1, J, 358, 378, 20, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 249, SP100/NC,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 370, 258, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 250, SP200/NC,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 258, 0, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 251, V100_1_2,    0.878V ,    0.878V , 0.000000,  30.0,  30.0, 1, Q, 270, 259, 10, 0, 0, 0, 0, 0, 0.8791309V , +0.1  %, 0
 252, V100_2_3,    0.789V ,    0.789V , 0.000000,  30.0,  30.0, 0, Q, 270, 269, 10, 0, 0, 0, 0, 0, 0.7895655V , +0.1  %, 0
 253, V100_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 259, 269, 10, 270, 0, 0, 0, 0, 0.0439016V , -85.4 %, 0
 254, V101_1_/SG,    0.400V ,    0.400V , 0.000000,  30.0,  30.0, 1, Q, 377, 257, 10, 0, 0, 0, 0, 0, 0.4079786V , +2.0  %, 0
 255, V101_2_3,    0.850V ,    0.850V , 0.000000,  30.0,  30.0, 1, Q, 377, 375, 10, 0, 0, 0, 0, 0, 0.8527914V , +0.3  %, 0
 256, V101_3_1_2/IGBT,    5.000V ,    9.000V , 0.000000,  30.0,  30.0, 4, Q, 257, 375, 20, 377, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 257, V101_3_1_2/IGBT,     2.00V ,   150.00  , 0.000000,  30.0,  30.0, 12, QH, 257, 375, 20, 377, 0, 0, 0, 0, 149.0305042  , -0.6  %, 0
 258, V102_1_2,    0.880V ,    0.880V , 0.000000,  30.0,  30.0, 1, Q, 380, 376, 10, 0, 0, 0, 0, 0, 0.8812183V , +0.1  %, 0
 259, V102_2_3,    0.888V ,    0.888V , 0.000000,  30.0,  30.0, 1, Q, 380, 378, 10, 0, 0, 0, 0, 0, 0.8898638V , +0.2  %, 0
 260, V102_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 378, 376, 10, 380, 0, 0, 0, 0, 0.0420371V , -86.0 %, 0
 261, V106_1_2/SP,    0.700V ,    0.700V , 0.000000,  30.0,  30.0, 1, Q, 259, 0, 10, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 262, V106_2_3,    0.817V ,    0.817V , 0.000000,  30.0,  30.0, 1, Q, 269, 259, 10, 0, 0, 0, 0, 0, 0.8180465V , +0.1  %, 0
 263, V106_3_4,    0.819V ,    0.819V , 0.000000,  30.0,  30.0, 1, Q, 269, 268, 10, 0, 0, 0, 0, 0, 0.8197222V , +0.1  %, 0
 264, V106_4_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 268, 259, 10, 269, 0, 0, 0, 0, 0.0197062V , -93.4 %, 0
 265, V107_1_2,    0.850V ,    0.850V , 0.000000,  30.0,  30.0, 1, Q, 317, 355, 10, 0, 0, 0, 0, 0, 0.8316139V , -2.2  %, 0
 266, V107_2_3,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 317, 315, 10, 0, 0, 0, 0, 0, 0.8140961V , -3.1  %, 0
 267, V107_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 315, 355, 10, 317, 0, 0, 0, 0, 0.1239025V , -58.7 %, 0
 268, V108_1_2,    0.810V ,    0.810V , 0.000000,  30.0,  30.0, 1, Q, 310, 313, 10, 0, 0, 0, 0, 0, 0.7840568V , -3.2  %, 0
 269, V108_2_3,    0.830V ,    0.830V , 0.000000,  30.0,  30.0, 1, Q, 311, 313, 10, 0, 0, 0, 0, 0, 0.8047857V , -3.0  %, 0
 270, V108_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 3, Q, 311, 310, 10, 313, 0, 0, 0, 0, 0.0592217V , -80.3 %, 0
 271, V109_1_2,    0.908V ,    0.908V , 0.000000,  30.0,  30.0, 1, Q, 296, 291, 10, 0, 0, 0, 0, 0, 0.9444154V , +4.0  %, 0
 272, V109_2_3,    0.859V ,    0.859V , 0.000000,  30.0,  30.0, 1, Q, 296, 292, 10, 0, 0, 0, 0, 0, 0.8289720V , -3.5  %, 0
 273, V109_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 291, 292, 10, 296, 0, 0, 0, 0, 0.0643966V , -78.5 %, 0
 274, V110_1_2,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 292, 291, 10, 0, 0, 0, 0, 0, 0.8299270V , -1.2  %, 0
 275, V110_2_3,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 292, 293, 10, 0, 0, 0, 0, 0, 0.8127633V , -3.2  %, 0
 276, V110_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 293, 291, 10, 292, 0, 0, 0, 0, 0.1082265V , -63.9 %, 0
 277, V111_1_2,    0.908V ,    0.908V , 0.000000,  30.0,  30.0, 1, Q, 264, 296, 10, 0, 0, 0, 0, 0, 0.8799906V , -3.1  %, 0
 278, V111_2_3,    0.928V ,    0.928V , 0.000000,  30.0,  30.0, 1, Q, 264, 258, 10, 0, 0, 0, 0, 0, 0.8882520V , -4.3  %, 0
 279, V111_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 296, 258, 10, 264, 0, 0, 0, 0, 0.0447621V , -85.1 %, 0
 280, V112_1_2,    0.898V ,    0.898V , 0.000000,  30.0,  30.0, 1, Q, 297, 296, 10, 0, 0, 0, 0, 0, 0.8702646V , -3.1  %, 0
 281, V112_2_3,    0.918V ,    0.918V , 0.000000,  30.0,  30.0, 1, Q, 297, 263, 10, 0, 0, 0, 0, 0, 0.8760595V , -4.6  %, 0
 282, V112_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 296, 263, 10, 297, 0, 0, 0, 0, 0.0457087V , -84.8 %, 0
 283, V113_1_2,    0.850V ,    0.850V , 0.000000,  30.0,  30.0, 1, Q, 317, 355, 10, 0, 0, 0, 0, 0, 0.8317047V , -2.2  %, 0
 284, V113_2_3,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 317, 316, 10, 0, 0, 0, 0, 0, 0.8143726V , -3.1  %, 0
 285, V113_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 316, 355, 10, 317, 0, 0, 0, 0, 0.1101770V , -63.3 %, 0
 286, V114_1_2,    0.810V ,    0.810V , 0.000000,  30.0,  30.0, 1, Q, 310, 313, 10, 0, 0, 0, 0, 0, 0.7841620V , -3.2  %, 0
 287, V114_2_3,    0.830V ,    0.830V , 0.000000,  30.0,  30.0, 1, Q, 312, 313, 10, 0, 0, 0, 0, 0, 0.8049110V , -3.0  %, 0
 288, V114_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 3, Q, 312, 310, 10, 313, 0, 0, 0, 0, 0.0587916V , -80.4 %, 0
 289, V115_1_2,    0.908V ,    0.908V , 0.000000,  30.0,  30.0, 1, Q, 318, 355, 10, 0, 0, 0, 0, 0, 0.9370752V , +3.2  %, 0
 290, V115_2_3,    0.859V ,    0.859V , 0.000000,  30.0,  30.0, 1, Q, 318, 317, 10, 0, 0, 0, 0, 0, 0.8302343V , -3.3  %, 0
 291, V115_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 317, 355, 10, 318, 0, 0, 0, 0, 0.1585820V , -47.1 %, 0
 292, V116_1_2,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 310, 314, 10, 0, 0, 0, 0, 0, 0.8189678V , -2.5  %, 0
 293, V116_2_3,    0.850V ,    0.850V , 0.000000,  30.0,  30.0, 1, Q, 313, 314, 10, 0, 0, 0, 0, 0, 0.8253334V , -2.9  %, 0
 294, V116_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 3, Q, 310, 313, 10, 314, 0, 0, 0, 0, 0.0492725V , -83.6 %, 0
 295, V117_1_2,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 292, 291, 10, 0, 0, 0, 0, 0, 0.8300407V , -1.2  %, 0
 296, V117_2_3,    0.840V ,    0.840V , 0.000000,  30.0,  30.0, 1, Q, 292, 295, 10, 0, 0, 0, 0, 0, 0.8125719V , -3.3  %, 0
 297, V117_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 295, 291, 10, 292, 0, 0, 0, 0, 0.1185385V , -60.5 %, 0
 298, V200_1_2/NC,    0.700V ,    0.700V , 0.000000,  30.0,  30.0, 1, Q, 273, 271, 10, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 299, V200_2_3/NC,    0.700V ,    0.700V , 0.000000,  30.0,  30.0, 1, Q, 271, 272, 10, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 300, V200_3_1/NC,    0.700V ,    0.700V , 0.000000,  30.0,  30.0, 1, Q, 272, 273, 10, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 301, V201_1_2,    0.918V ,    0.918V , 0.000000,  30.0,  30.0, 1, Q, 277, 328, 10, 0, 0, 0, 0, 0, 0.8802250V , -4.1  %, 0
 302, V201_2_3,    0.928V ,    0.928V , 0.000000,  30.0,  30.0, 1, Q, 277, 258, 10, 0, 0, 0, 0, 0, 0.8882516V , -4.3  %, 0
 303, V201_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 328, 258, 10, 277, 0, 0, 0, 0, 0.0444753V , -85.2 %, 0
 304, V202_1_2,    0.908V ,    0.908V , 0.000000,  30.0,  30.0, 1, Q, 278, 277, 10, 0, 0, 0, 0, 0, 0.8806100V , -3.0  %, 0
 305, V202_2_3,    0.928V ,    0.928V , 0.000000,  30.0,  30.0, 1, Q, 278, 258, 10, 0, 0, 0, 0, 0, 0.8895594V , -4.1  %, 0
 306, V202_3_1_2,    5.000V ,    0.300V , 0.000000,  30.0,  -1.0, 4, Q, 258, 277, 10, 278, 0, 0, 0, 0, 0.0399718V , -86.7 %, 0
 307, V203_1_2/NC,    0.700V ,    0.700V , 0.000000,  30.0,  30.0, 1, Q, 345, 271, 10, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
