// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight,Duration
PASS,1,3,500504,1031540040011006,20250719,124745,P,0,1,,PPPPPNNNNNNN,1,P,0,20250719,124741,0,,,0,0,4.94sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, Offset, HLim, LLim, Mode, Type, HPin, LPin, Delay, GP1, GP2, GP3, Avge, Rpt, Msr_V, Dev, Result
 34, D109,    0.848V ,    0.848V , 0.000000,  20.0,  20.0, 1, D, 377, 375, 20, 0, 0, 0, 0, 0, 0.8531586V , +0.6  %, 0
 35, D109_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 375, 377, 0, 0, 0, 0, 0, 0, 2.8435361V , +89.6 %, 0
 36, D110/NP,    0.700V ,    0.700V , 0.000000,  20.0,  20.0, 1, D, 364, 0, 20, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 37, D110_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 0, 364, 0, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 38, D111,    0.789V ,    0.789V , 0.000000,  20.0,  20.0, 1, D, 364, 350, 20, 0, 0, 0, 0, 0, 0.7906118V , +0.2  %, 0
 39, D111_1,    0.985V ,    0.985V , 0.000000,  20.0,  30.0, 1, D, 350, 364, 20, 0, 0, 0, 0, 0, 0.9865150V , +0.2  %, 0
 40, D112/NP,    0.700V ,    0.700V , 0.000000,  20.0,  20.0, 1, D, 362, 0, 20, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 41, D112_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 0, 362, 0, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 42, D113,    0.782V ,    0.782V , 0.000000,  20.0,  20.0, 1, D, 362, 350, 20, 0, 0, 0, 0, 0, 0.7847255V , +0.3  %, 0
 43, D113_1,    0.977V ,    0.977V , 0.000000,  20.0,  30.0, 1, D, 350, 362, 20, 0, 0, 0, 0, 0, 0.9794796V , +0.3  %, 0
 44, D118,    0.816V ,    0.816V , 0.000000,  20.0,  20.0, 1, D, 268, 267, 20, 0, 0, 0, 0, 0, 0.8178035V , +0.2  %, 0
 45, D118_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 267, 268, 20, 0, 0, 0, 0, 0, 2.8384987V , +89.2 %, 0
 46, D121,    0.851V ,    0.851V , 0.000000,  20.0,  20.0, 1, D, 294, 268, 20, 0, 0, 0, 0, 0, 0.8531854V , +0.3  %, 0
 47, D121_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 268, 294, 20, 0, 0, 0, 0, 0, 2.8429450V , +89.5 %, 0
 48, D122,    0.847V ,    0.847V , 0.000000,  20.0,  20.0, 1, D, 258, 270, 20, 0, 0, 0, 0, 0, 0.8492605V , +0.3  %, 0
 49, D122_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 270, 258, 20, 0, 0, 0, 0, 0, 2.8438895V , +89.6 %, 0
 50, D123,    0.848V ,    0.848V , 0.000000,  20.0,  20.0, 1, D, 258, 296, 20, 0, 0, 0, 0, 0, 0.8492310V , +0.1  %, 0
 51, D123_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 296, 258, 0, 0, 0, 0, 0, 0, 2.8445761V , +89.6 %, 0
 52, D124,    0.818V ,    0.818V , 0.000000,  20.0,  20.0, 1, D, 263, 267, 20, 0, 0, 0, 0, 0, 0.8188529V , +0.1  %, 0
 53, D124_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 267, 263, 0, 0, 0, 0, 0, 0, 2.8428734V , +89.5 %, 0
 54, D125,    0.682V ,    0.682V , 0.000000,  20.0,  20.0, 0, D, 314, 353, 20, 0, 0, 0, 0, 0, 0.6840537V , +0.3  %, 0
 55, D125_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 353, 314, 0, 0, 0, 0, 0, 0, 2.8431231V , +89.5 %, 0
 56, D126,    0.818V ,    0.818V , 0.000000,  20.0,  20.0, 1, D, 352, 318, 20, 0, 0, 0, 0, 0, 0.8196077V , +0.2  %, 0
 57, D126_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 318, 352, 0, 0, 0, 0, 0, 0, 2.8433874V , +89.6 %, 0
 58, D200,    0.857V ,    0.857V , 0.000000,  20.0,  20.0, 1, D, 258, 325, 20, 0, 0, 0, 0, 0, 0.8580909V , +0.1  %, 0
 59, D200_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 325, 258, 0, 0, 0, 0, 0, 0, 2.8423768V , +89.5 %, 0
 60, D201,    0.767V ,    0.767V , 0.000000,  20.0,  20.0, 0, D, 276, 267, 20, 0, 0, 0, 0, 0, 0.7677483V , +0.1  %, 0
 61, D201_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 267, 276, 0, 0, 0, 0, 0, 0, 2.8438647V , +89.6 %, 0
 62, D205,    0.814V ,    0.814V , 0.000000,  20.0,  20.0, 1, D, 280, 284, 20, 0, 0, 0, 0, 0, 0.8159316V , +0.2  %, 0
 63, D205_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 284, 280, 0, 0, 0, 0, 0, 0, 2.8430827V , +89.5 %, 0
 64, D206,    0.830V ,    0.830V , 0.000000,  20.0,  20.0, 1, D, 283, 287, 20, 0, 0, 0, 0, 0, 0.8160595V , -1.7  %, 0
 65, D206_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 287, 283, 0, 0, 0, 0, 0, 0, 2.8430900V , +89.5 %, 0
 66, D207,    0.816V ,    0.816V , 0.000000,  20.0,  20.0, 1, D, 285, 287, 20, 0, 0, 0, 0, 0, 0.8175187V , +0.2  %, 0
 67, D207_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 287, 285, 0, 0, 0, 0, 0, 0, 2.8437665V , +89.6 %, 0
 68, D208,    0.309V ,    0.309V , 0.000000,  20.0,  20.0, 1, D, 343, 349, 20, 0, 0, 0, 0, 0, 0.3093867V , +0.1  %, 0
 69, D208_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 349, 343, 20, 0, 0, 0, 0, 0, 2.8420638V , +89.5 %, 0
 70, D209/D,    0.250V ,    0.250V , 0.000000,  20.0,  20.0, 1, D, 258, 343, 100, 0, 0, 0, 0, D, 0.2276294V , -8.9  %, 0
 71, D209_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 343, 258, 100, 0, 0, 0, 0, 0, 1.9836494V , +32.2 %, 0
 72, D210,    0.300V ,    0.300V , 0.000000,  20.0,  20.0, 1, D, 344, 349, 100, 0, 0, 0, 0, 0, 0.3104101V , +3.5  %, 0
 73, D210_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 349, 344, 100, 0, 0, 0, 0, 0, 2.8426779V , +89.5 %, 0
 74, D211,    0.250V ,    0.250V , 0.000000,  20.0,  20.0, 1, D, 258, 344, 100, 0, 0, 0, 0, D, 0.2268915V , -9.2  %, 0
 75, D211_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 344, 258, 100, 0, 0, 0, 0, D, 1.9839037V , +32.3 %, 0
 76, D212,    0.814V ,    0.814V , 0.000000,  20.0,  20.0, 1, D, 281, 329, 20, 0, 0, 0, 0, 0, 0.8168269V , +0.3  %, 0
 77, D212_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 329, 281, 0, 0, 0, 0, 0, 0, 2.6662818V , +77.8 %, 0
 78, D213,    0.818V ,    0.818V , 0.000000,  20.0,  20.0, 1, D, 325, 341, 20, 0, 0, 0, 0, 0, 0.8201395V , +0.3  %, 0
 79, D213_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 341, 325, 0, 0, 0, 0, 0, 0, 2.8425375V , +89.5 %, 0
 80, R100/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 306, 307, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
 81, R108/NC,   -1.000  ,    1.000  , 0.000000,  10.0,  10.0, 2, R, 301, 307, 0, 0, 0, 0, 0, 0, 0.0000000  ,  0.0  %, 0
