Level,Pos,Quantity,Unit,Material No,Rev,Description,Material type,Lifecycle,State,Part type,RoHS/WEEE compliant on,Reference,Catalogue ID,Old number,RoHS II State,RoHS II application scope,RoHS II category,RoHS II Data,RoHS II compliance date,Creation on (UTC),Modification on (UTC),PPS Part type,ELID,KLASSENTYP
1.21?,810,3,st,9069711?,00?,C   47PF   50V  5% C 0603   SM,Components,SF (Series release),VALID,component,%D2016-02-18 00:00:00,"C211,C214,C232",,81-55-242500-X,,,,,,%D2015-03-20 13:26:21,,smd,CQ3CK9VH,$TEILEBEZ
1.22?,811,3,st,9069789?,00?,C  100PF   50V  5% C 0603   SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"C204,C217,C228",,81-55-312500-X,,,,,,%D2015-03-20 13:26:32,,smd,CQ3CKCPH,$TEILEBEZ
1.23?,812,2,st,9069788?,00?,C  220PF   50V  5% C 0603   SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"C202,C203",,81-55-322500-X,,,,,,%D2015-03-20 13:26:32,,smd,CQ3CKCP9,$TEILEBEZ
1.24?,813,1,st,9075141?,00?,CAPSMD 330P 0805 50V0 10%0 X7R,Components,SF (Series release),VALID,component,%D2016-01-01 00:00:00,C201,,81-55-332501-X,compatible without exception,,,,,%D2016-05-20 12:42:22,,-,CUHGFKF1,$TEILEBEZ
1.25?,815,5,st,9069785?,00?,C   10NF   50V 10% C 0603   SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"C116,C117,C130,C224,C227",,81-55-512500-X,,,,,,%D2015-03-20 13:26:32,,smd,CQ3CKCOL,$TEILEBEZ
1.26?,816,11,st,9156518?,00?,C 100NF   25V 10% K     0603SM,Components,SF (Series release),VALID,component,%D2006-02-17 00:00:00,"C205,C207,C212,C218,C219,C221,C222,C225,C226,C230,C231",,81-55-612200-X,compatible without exception,,,,,%D2006-02-17 00:00:00,,smd,BRWL5MJ7,$TEILEBEZ
1.27?,817,6,st,9159777?,00?,C   1UF   16V 10% K     0805SM,Components,SF (Series release),VALID,component,%D2014-06-16 00:00:00,"C109,C206,C208,C209,C210,C213",,81-55-712101-X,,,,,,%D2014-06-16 10:16:48,,smd,CN8HC5G5,$TEILEBEZ
1.28?,818,2,st,9069977?,00?,C    1UF  100V 10% C 1206   SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"C127,C128",,81-55-713102-X,,,,,,%D2015-03-20 13:26:52,,smd,CQ3CKGBH,$TEILEBEZ
1.29?,819,4,st,9075535?,00?,CAPSMD-F 10U0 1206 16V 10% X7R,Components,SF (Series release),VALID,component,%D2016-01-01 00:00:00,"C122,C123,C124,C125",,81-55-812113-X,,,,,,%D2016-05-20 12:43:15,,-,CUHGFUX1,$TEILEBEZ
1.30?,820,1,st,1047775?,00?,CAPSMD 4N70 1812 2KV0 10%0 X7R,Components,SF (Series release),VALID,component,%D2017-09-28 00:00:00,C101,,81-55-444200-X,,,,,,%D2017-09-28 13:22:23,,-,CZLBP5WB,$TEILEBEZ
1.31?,920,1,st,9073929?,00?,DIODE-ZEN SMD 6V20 1X5MA0 0W50,Components,SF (Series release),VALID,component,%D2016-02-24 00:00:00,D200,,92-55-116201-X,,,,,,%D2016-02-24 13:08:22,,-,CTLIXZF9,$TEILEBEZ
1.32?,921,2,st,9069975?,00?,"DIO.Z   10V  0,5W SOD-80    SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"D121,D201",,92-55-121001-X,,,,,,%D2015-03-20 13:26:51,,smd,CQ3CKGB1,$TEILEBEZ
1.33?,922,3,st,9069972?,01?,"DIO.Z   15V  0,5W SOD-80    SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"D109,D122,D123",,92-55-121501-X,,,,,,%D2015-03-20 13:26:51,%D2016-02-29 07:27:54,smd,CTN9Z3NT,$TEILEBEZ
1.34?,923,13,st,9072771?,00?,DIODE-SIG SMD 200V 1X0A25 0W20,Components,SF (Series release),VALID,component,%D2015-11-13 00:00:00,"D110,D111,D112,D113,D118,D124,D125,D126,D205,D206,D207,D212,D213",,92-55-232001-X,,,,,,%D2015-11-13 12:24:05,,smd,CSJA68BV,$TEILEBEZ
1.35?,924,4,st,9069559?,00?,DIO.    40V  0A5  SOD-123   SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"D208,D209,D210,D211",,92-55-324000-X,,,,,,%D2015-03-20 13:26:05,,smd,CQ3CK6UT,$TEILEBEZ
1.36?,925,2,st,9069969?,00?,DIO.S  440V 1KW5  DO-214    SM,Components,VF (Pilot lots release),RELEASED,component,%D2016-01-20 00:00:00,"D103,D108",,92-55-434400-X,compatible with exception,,,"""001"",""7a."",""001"",""7c. I""",,%D2015-03-20 13:26:51,,smd,CQ3CKG9X,$TEILEBEZ
1.37?,926,1,st,9069475?,00?,DIO.  1000V  3A0            SM,Components,VF (Pilot lots release),VALID,component,%D2016-01-20 00:00:00,D107,,92-55-541000-X,,,,,,%D2015-03-20 13:25:56,,smd,CQ3CK5EL,$TEILEBEZ
1.38?,930,7,st,9069965?,00?,TRANS. BC846B               SM,Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"V100,V102,V111,V112,V201,V202,V204",,93-55-265010-X,,,,,,%D2015-03-20 13:26:50,,smd,CQ3CKG91,$TEILEBEZ
1.39?,931,1,st,9069964?,00?,TRANS. BCP5616T             SM,Components,SF (Series release),VALID,component,%D2016-01-20 00:00:00,V106,,93-55-280011-X,,,,,,%D2015-03-20 13:26:50,,smd,CQ3CKG8T,$TEILEBEZ
1.40?,932,6,st,9069963?,00?,TRANS. FMMT459TA            SM,Components,VF (Pilot lots release),RELEASED,component,%D2016-01-20 00:00:00,"V107,V109,V110,V113,V115,V117",,93-55-350010-X,,,,,,%D2015-03-20 13:26:50,,smd,CQ3CKG8L,$TEILEBEZ
1.41?,933,3,st,9069962?,00?,TRANS. FMMT560T             SM,Components,VF (Pilot lots release),RELEASED,component,%D2016-01-20 00:00:00,"V108,V114,V116",,93-55-350011-X,,,,,,%D2015-03-20 13:26:50,,smd,CQ3CKG8D,$TEILEBEZ
1.42?,934,1,st,9073921?,00?,TRANS-IGBT SMD 1KV2 60A0 3V50,Components,VF (Pilot lots release),VALID,component,%D2016-02-24 00:00:00,V101,,93-55-412260-X,compatible without exception,,,,,%D2016-02-24 12:53:54,,-,CTLIII1J,$TEILEBEZ
1.43?,960,1,st,9072758?,00?,IC-OP SMD 02CH 85C0 SOIC-8,Components,SF (Series release),VALID,component,%D2015-11-13 00:00:00,IC206,,96-55-010003-X,,,,,,%D2015-11-13 09:46:51,,-,CSJA684H,$TEILEBEZ
1.44?,961,1,st,9077371?,00?,IC-PWM SMD 98K0 150C TSSOP-20,Components,SF (Series release),VALID,component,%D2016-12-06 00:00:00,IC200,,96-55-030024-X,compatible without exception,,,,,%D2016-12-06 12:09:58,,-,CWJKH4QD,$TEILEBEZ
1.45?,962,1,st,9072834?,00?,IC-LOGIC SMD TLC555 SOIC-8,Components,SF (Series release),VALID,component,%D2015-11-18 00:00:00,IC203,,96-55-080003-X,compatible without exception,,,,,%D2015-11-18 14:24:09,,-,CSL7PJ5L,$TEILEBEZ
1.46?,963,1,st,9073932?,00?,IC-DRV SMD 02CH 4A00 70C0 SOIC,Components,VF (Pilot lots release),VALID,component,%D2016-02-24 00:00:00,IC201,,96-55-090003-X,compatible without exception,,,,,%D2016-02-24 13:12:02,,-,CTLIXZGL,$TEILEBEZ
1.47?,964,1,st,9069955?,00?,"SVP 350V 2,7X4,5  2 EL.     SM",Components,VF (Pilot lots release),VALID,component,%D2016-01-20 00:00:00,R129,,9B-55-335410-X,,,,,,%D2015-03-20 13:26:49,,smd,CQ3CKG79,$TEILEBEZ
